pulled_at,range_start,range_end,total_impressions,total_members_reached
2026-07-19 01:34,6/15/2026,7/12/2026,798,380
2026-07-19 01:34,7/8/2026,7/14/2026,1159,535
2026-07-19 01:34,7/8/2026,7/14/2026,1470,619
2026-07-19 01:34,7/10/2026,7/16/2026,3561,1924
2026-07-19 01:34,7/6/2026,7/19/2026,6575,3811
2026-07-19 01:34,7/13/2026,7/19/2026,5848,3530
2026-07-18 22:44,7/20/2025,7/19/2026,22353,10544
2026-07-19 00:58,7/20/2025,7/19/2026,22353,10544
2026-07-19 02:34,7/13/2026,7/19/2026,5891,3544
2026-07-19 10:54,7/6/2026,7/19/2026,6646,3833
2026-07-19 17:44,7/13/2026,7/19/2026,6095,3588
2026-07-19 21:20,6/15/2026,7/12/2026,798,380
2026-07-19 21:25,7/8/2026,7/14/2026,801,395
2026-07-19 21:27,7/20/2025,7/19/2026,22353,10544
2026-07-19 21:28,7/21/2025,7/20/2026,22554,10590
2026-07-20 08:38,7/14/2026,7/20/2026,6200,3630
2026-07-20 13:33,7/14/2026,7/20/2026,6316,3650
